,text,types,keywords
0,มันแปลกหรอ ถ้าสมมติเราอยู่กับเพื่อนคนนี้แล้วเราไม่สบายใจ เราก็แค่ถอยมาอยู่ในโลกของเราที่เราอยู่ด้วยตัวเองแล้วมีความสุขกว่าก็ดีแล้วไหม มันไม่จำเป็นต้องแคร์คนทั้งโลกป่ะ เหนื่อย,where,"friend,retreat,world,ourselves,world"
1,วิ่งหนีเหนื่อยมั้ย วิ่งตามเหนื่อยมาก,,"Run,Ran"
2,เคยเจอพี่สิงที่มอมั้ยย สิงโต,,lion
3,ใครไปเจาะเลือดมั่งงงง,who,blood
4,วิ่งหนีเหนื่อยมั้ยวิ่งตามเหนื่อยมาก,,
5,ไหนบอกเราว่าเราเป็นความสุขของคุณไงแล้วตอนนี้คุณหายไปไหนแล้วล่ะ,where,happiness
6,เจ้าแอพนี้มันเล่นยังไงนะ ,how,"app,play"
7,4 คนตอนนี้เต็มยังค่ะ,,people
8,อีกนานไหม กว่าใจจะลืม,yes_no,heart
9,เรามันก็แค่คนในไลน์จะไปสู้คนข้างกายเธอได้ยังไง ,,"people,line,people,body"
10,คนคนหนึ่งจะจมปรักกับเรื่องเก่าๆได้นานแค่ไหน,"how,yes_no","person,sink,love,things"
11,นอกจากชื่อฉัน มีสิ่งอื่นอีกไหมที่เธอยังใส่ใจและพอจำมันได้อยู่httpsyoutubepMSYc52OOns,when,"name,anything"
12,ทำดีมาตลอด แต่พลาดทำผิดครั้งเดียวจะกลายเป็นคนเลวเลยหรอ,yes_no,"time,person"
13,รถรับส่งจุดเมกะบางนา คืนนี้ 241 ถึงเวลาเท่าไหร่ และพรุ่งนี้เช้า 251 เริ่มเวลาเท่าไหร่คะ,how,"Mega,Bangna,bus,tonight,time,tomorrow,morning,time"
14,ฟังเราก่อนได้มั้ย ขอร้องล่ะ,yes_no,
15,แสงฉาวป่ะะ,,light
16,จะไม่คิดถึงกันหน่อยหรอ ,yes_no,
17,สนามกีฬาแห่งชาติเริ่มถวายรึยังคะ,,"National,Stadium"
18,เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหน,where,flowers
19,เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหน,where,flowers
20,ทำไมการที่จะมีใครซักคนคุนด้วยแล้วรู้สึกว่ามันคลิ๊กกัน คือยากจังอะ,"why,who",someone
21,เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหน   ,where,flowers
22,กลับไปเกษตรฝนจะตกไหมนะ,,agriculture
23,กินข้าวคนเดียวเหงาเปล่า เรากินเป็นเพื่อนได้นะ 5555,yes_no,friends
