text,probability,label
วัดบัวขวัญตอนนี้คนเริ่มเยอะหรือยังคะ,0.5001,1
สรุปโคโค่เฟรชหรือโตโต้เฟรชอะ,0.5001,1
ปกติแล้วเวลากินซีเรียลนี่ใส่นมก่อนหรือใส่ซีเรียลกันก่อนอ่ะ 👻,0.5002,1
ง่วงแบบนี้หนูจะทำแลบยังไงไม่ให้ผิดคะ? รายงานสดจากองค์การเภสัชกรรม 😴😪,0.5003,1
เออ อยากรู้เหมือนกัน มันโป๊หรอ หรือเพราะคนวิจารณ์หัวโบราณเกินไป #TUCL,0.5003,1
วันนี้ขุดทองเปิดไหมคะ,0.5004,1
ดูหนังกันมั้ย 🎬,0.5004,1
ไม่ได้ไปร่วมกิจกรรมวันนี้จะมีผลอารายมั้ยยงะ,0.5005,1
ฝนตกแบบนี้กินข้าวกันไหม :) #หาคนกินข้าวเป็นเพื่อน,0.5005,1
ถ้ากูขำกูจะบาปไหม5555,0.5005,1
มัธยมเล่นแอพนี้ได้ป้ะ555,0.5005,1
อายยยย อายอยู่ไหน,0.5006,1
เหนื่อยจังค่ะ คนเราต้องเจออะไรในชีวิตเยอะขนาดนี้เลยหรอ,0.5006,1
เห้ย มีอย่างงี้ด้วย ใครได้เหมือนกันบ้าง,0.5007,1
มีใครเคยไปเที่ยวต่างจังหวัดคนเดียวมั่ง,0.5007,1
ร้านไม่เปิดวันอาทิตย์เหรอ,0.5007,1
เหงากันมั้ย555,0.5008,1
เมื่อไหร่ศร.1จะเสร็จตอนนี้ศร.3กับบาร์ใหม่แบบแออัดมากก😂,0.5008,1
ก้ำเปิดไหมวันนี้,0.5008,1
คนคุยมาเล่าเรื่องแฟนเก่าให้ฟัง ควรทำไงอะ แบบอือน่าสงสารเนอะ ทำไมถึงเลิกกันอ่าา น่ารักดีนะ งี้อ่อ 😡,0.5008,1
เธอเห็นท้องฟ้านั่นไหม...,0.5009,1
คิดถึงเราม้ะ😂💗,0.5009,1
เช้านี้สดใส หรอวะ,0.5009,1
ไปทะเลด้วยกันอีกครั้งมั๊ย ?,0.501,1
อย่าให้มีความสุขแค่วันสำคัญได้รึเปล่า,0.5011,1
มีใครที่เคยไป work&travel ที่เมกา ประมาณ 2-3 เดือน รบกวนขอสัมภาษณ์เพื่อทำรายงานหน่อยฮับ,0.5011,1
"พยายามตัดใจไม่ตอบ
พอเราไม่ตอบก็พยายามทักมาหา
พอเราตอบ ก็ไม่ตอบเรา
จะเอายังไงกันเเน่",0.5011,1
มีเพลงแนะนำไหมคะ ไทย สากล ได้หมดเยย,0.5012,1
ทำไมลุงถึงใช้โคล่าทอดไก่ง่า,0.5012,1
กอดเธอได้ไหม ในฐานะพี่ปาล์มก็ได้... 55555,0.5012,1
ตอนนี้ก็ดีนะ แต่ไม่รู้ว่าจะดีแบบนี้ไปอีกนานแค่ไหน.😌,0.5013,1
"Otw to พัทยา
หยุดยาวนี้ใครจัดทริปไปไหนบ้าง มาอัปเดทกันหน่อย",0.5013,1
"เพื่อนๆใครรู้บ้างว่าบทนี้มาจากนิยายเรื่องอะไร น่าจะมาจากงานเขียนเกาหลีอะ เราไปเจอมา ชอบเลยจะไปหาหนังสือมาอ่าน ใครรู้บอกหน่อยน้าาา
""เมื่อกุหลาบผลิบานและหัวใจของคุณสั่นไหว
ช่วยยิ้มให้ฉันด้วย
ถ้ามีเพลงอะไรที่ดังขึ้นมาในใจ
ร้องให้ฉันฟังด้วย
เพราะเมื่อดวงอาทิตย์ตกลง
มันอาจจะสายเกินไป
ร้องเพลงของคุณ...ออกมาในตอนนี้""",0.5013,1
คุณจะรู้ตัวไหมครับ ความน่ารักของคุณทำหัวใจผมละลาย ☺️,0.5013,1
จากชื่อ คิดว่าหนังสือเล่มนี้น่าจะเป็นเรื่องยังไง,0.5015,1
ควรดรอปมั้ยอะ มิดเทอมได้แค่ครึ่งเดียว แล้วปลายภาคเหลืออีก 10 บท คะแนนเก็บ แค่ 5 คะแนนเอง,0.5016,1
คอลตอนนอนนี่เปลืองแบตไปมั้ยยย ถถถถถ,0.5016,1
พุทธมนฑลวันที่26 เริ่มกี่โมง,0.5016,1
เวลามีคนมาทักนี่​ บางทีก็งง​ จำไม่ได้​ มึงเป็นใครวะ​ แต่ก็ต้องเออออห่อหมกไปว่าจำได้​ ไม่ให้เค้าเสียเซลฟ์​ คนดีมะ​,0.5016,1
คำพูดของมึงมันโคตรเหี้ย กูรักคนเหี้ยๆสันดานแย่อย่างมึงไปได้ยังไงวะ อีเหี้ย,0.5016,1
ในนี้มี ป.โทไหมนิ 🤔,0.5017,1
เข้มแข็งขนาดไหน ถึงจะเรียกว่าไม่อ่อนแอ 😞,0.5017,1
"วันนี้อุณหภูมิจะ 39 องศาไหม แง่ กลัวล้าว 😢
#คุยสัพเพเหระ",0.5017,1
จะจริงจังกับใครซักคนมันก็ต้องใช้เวลาปะวะ,0.5017,1
ทำไมต้องทำให้ผิดหวังตลอด,0.5019,1
ป่วยนานเกินไป จะหายทันวันเปิดโลกมั้ยเนี่ยย 😂😭,0.5019,1
"หากคำว่ารักมันร้ายกับเธอมากไป
บอกมาได้ไหมให้ฉันช่วยซับน้ำตา",0.502,1
วัดพิชัยญาติ  ท้ายแถวอยู่ตรงไหนแล้วค่ะ,0.502,1
มีใครชอบฟังเพลงเก่าๆยุค90บ้างอ่ะ,0.502,1
ความรู้สึกที่ว่า ใจเต้นแรงครั้งสุดท้ายนั้นมันเมื่อไหร่กันนะ,0.502,1
"มีใครเคยไม่ฝันมั่งมะ ??? #funfact 

เราชอบฝันว่าตกเหวตลอด ตื่นมาอยู่ใต้เตียงละ จ้า 55",0.502,1
คุณบอกเราทีว่าตอนนี้คุณกำลังให้เรารออะไร?,0.502,1
คิดถึงกันแบบที่ฉันคิดถึงบ้างรึป่าวคุณ,0.5021,1
ตกลงเขาเลื่อนชมพระเมรุมาศไหมคับ,0.5021,1
คิดถึงไหมกลับมาได้นะ คิดถึงนะกลับมาได้ไหม 😢,0.5021,1
เปลี่ยนไปได้ขนาดนี้เลยหรอ,0.5022,1
คุณทำร้ายเหนื่อยมั้ย เราเจ็บเหนื่อยมาก.,0.5022,1
อยากกินขนมจีนมากกกกกกกก แภวม.เรามีร้านไหนขายไหมจ๊ะ 😂😂😂😂😂,0.5022,1
งอแงใส่ใครได้บ้าง ไอบ้าเอ้ยยย,0.5022,1
ทำไมจารสั่งงานเยอะจัง,0.5023,1
เรามาเข้าห้องน้ำ กลัวเพื่อนๆจะติวไปก่อนไม่รอเรา เราควรงอนหรือไม่ถ้าเพื่อนติวหนังสือไปก่อนโดยที่ไม่รอเรา,0.5023,1
น้องทามะคนอื่นสีสวยมากเลยง่า มันมีวิธีเปลี่ยนสีน้องทามะบ้างไหมคะ แงงงงงงงง,0.5023,1
เค้าก็ต้องเลือกเเฟนเค้าสิมึงเป็นใคร,0.5023,1
มีใครเซียนปลูกต้นไม้บ้างคะ คือเราต้องปลูกต้นไม้ส่งครูอีก 2 เดือน แต่ช่วงนี้ฝนตกหนักมาก ดินมันชุ่มแล้วเหมือนต้นไม้จากเคยเติบโตแบบพรวดๆ ช่วงนี้มันหยุดไปไม่ค่อยโตเลย อันนี้สภาพล่าสุด อยากรู้ว่ามันโอเคมั้ยคะ คนขู่ว่ารากจะเน่าเยอะมากกัวววว 😭😭🙏🏻🙏🏻,0.5023,1
เราจะมีอะไร ที่เทอจะมาชอบบ5555,0.5024,1
เวลาเที่ยงรออาจาร์ปล่อยเป็นแบบนี้กันมั้งรึป่าวว 😂🐰💘💘 หิวจนรอไม่ได้แล้วว #เปียกปูนโซคิ้วท์,0.5025,1
Will a pretty face make it better?,0.5025,1
พระเมรุมาศจำลอง จุดต่างๆในกรุงเทพ ขณะนี้เริ่มมีคนเข้าไปหรือยังคะ?,0.5025,1
นั้นสินะ เฮ้อ ใครเป็นแบบเราบ้าง ?,0.5025,1
หยุดพูดได้ไหมดีเกินไปไม่อยากฟังง,0.5025,1
เมื่อไหร่โซนใหม่จะเปิดน้าาาาา เล่นทึกโซนแย้ววว งื้ออออ😟,0.5025,1
เมื่อไหร่พี่สแตมป์จะมา,0.5025,1
เวลาที่ทุกคนหายไปจาก zon หายไปไหนกัน,0.5026,1
ข้าวแถวไหนอร่อยและถูกบ้างอะ555555,0.5026,1
เขาไม่เคยบอกให้เรารอเลย แต่ทำไมเรายังรออยู่ละ,0.5027,1
ดีกันแล้วใช่ไหม งั้นไปนะ,0.5027,1
คนอยู่หอฝั่งตรงข้ามประตูเชียงรากได้ยินเพลงภารตะ/บทสวดมนต์มั้ยอะ เปิดแต่เช้าเลยว้อยยย มาจากสำนักทรงทางไปกอล์ฟวิวปะ,0.5027,1
คนอยู่หอฝั่งตรงข้ามประตูเชียงรากได้ยินเพลงภารตะ/บทสวดมนต์มั้ยอะ เปิดแต่เช้าเลยว้อยยย มาจากสำนักทรงทางไปกอล์ฟวิวปะ,0.5027,1
"บางทีก็กินหญ้าเยอะไปนะ
 จนลืมไปแล้วว่ารสชาติของข้าวมันเป็นยังไง...",0.5028,1
ประโยคเดียวมันทำให้คนร้องไห้ขนาดนี้เลยหรอวะ..,0.5028,1
ฝากดาวไปบอกคุณว่าคิดถึงจะได้ไหม 🌟,0.5028,1
มีใครเคยคุย tinder จนได้เป็นแฟนป่ะ,0.5029,1
"ถ้าคุณมีสายรหัสที่ไม่ค่อยมีตังค์ วันรับปริญญาไม่มีของแพงๆให้ 
คุณรู้สึกยังไง",0.5029,1
คิดว่าคนเราจะสนิทกับคนที่ไม่เคยเห็นหน้าได้มากขนาดไหนกันนะ._.,0.5029,1
ยำมาม่าตรงเสดสาดเปิดป่ะ,0.5029,1
ใครมาอยู่ธรรมศาสตร์แล้ว ดำขึ้นบ้าง แดดร้อนเหมือนซ้อมอยู่ในนรก,0.5029,1
"เคยตี้ล่มเพราะมีเพื่อนไม่ไปคนนึงไหม?
ซึ่งวันนี้คนที่ไม่ไปก็คือเราเอง
ต้องรู้สึกผิดไหมวะเนี้ยยย",0.503,1
พี่ไฟท์นี่ยังไง ทำไมทั้งน่ารักทั้งเซกซี่ขนาดนี้!!!!!!!!,0.5031,1
ฟิตเนสที่ท่าพระจันทร์เล่นฟรีป่าวคะ,0.5032,1
ทำไมปัสมกไม่ว่าแอพไหนๆคือคึกกว่าปัสอื่น5555555,0.5033,1
ฝนจะตกอีกแล้วหรอ!!,0.5033,1
พี่แสตมป์แสบตา ป๊าวคะ,0.5033,1
ฝนจะตกอีกแล้วหรออ🌧💤,0.5033,1
ในนั้นอุ่นดีใช่ไหม555,0.5033,1
วาปมาไกลไปมั๊ย555,0.5033,1
เล่นเปียโนชอบคลาสสิค แต่ชอยท์เลือกไปออได้มีแค่ TU band กะ โฟล์คซอง เอาไงดีหว่า 🤔,0.5034,1
"ขอคถเธอได้ไหม
ในฐานะคนไร้ตัวตนก็ได้ 😧",0.5034,1
เมื่อความสัมพันธ์มาถึงจุดที่ต้องเลือกระหว่างห่างกันสักพัก กับคบต่อไป เราควรจะเลือกทางไหนดี?? ในเมื่อมันเสี่ยงทั้งสองทาง ถ้าเลือกทางแรกเราก็กลัวว่าจะมีใครอีกคนเข้ามาทำให้เขารู้สึกดีกว่าตอนที่มีเราอยู่ ส่วนอีกทางคือถ้ามันพังแล้วก็คงไม่มีโอกาสได้กลับไปแก้ไขอะไรอีก 😧😧😧,0.5034,1
มีใครยังไม่นอนบ้างงงงงงงงง,0.5034,1
ต้องแกร่งขนาดไหน ถึงจะผ่านช่วงสอบกับทำโปรเจคไปได้ มันเหนื่อยแบบเวลาไม่เคยพอ สมองก็ไม่พอ พังอ่ะ,0.5034,1
อยากลองปลูกต้นไม้ จะรอดหรือไม่ โปรดติดตามตอนต่อปุย,0.5034,1
"วันที่ 26 หากจะนำรถไปจอดที่เมกะบางนา เพื่อไปร่วมถวายดอกไม้จันทน์ที่พระเมรุมาศจำลองที่ไบเทคบางนา
สามารถนำไปจอดได้ตั้งแต่เวลาไหนครับ
หรือมี Shuttle bus รับไปสนามหลวงด้วยหรือไม่ครับ",0.5035,1
เดี๋ยวนะะะ ดาวมันลดลงได้ด้วยหรออ,0.5035,1
"ต้องไม่ได้เข้าไปอ่านนานขนาดไหนอะ 
ถึงกับแจ้งเตือนมาตาม 55555555555
#ขาเบียดstory",0.5035,1
"ขนมทอมหยิบทองหยอดนี่มันเล่นไงอ่ะ 😑
ปล.น้องมีลูกได้ด้วยเหรอฮะ☺️",0.5036,1
กูเด๋อมากพึ่งเล่น สนุกปะวะ555555,0.5036,1
ลุกอาบน้ำไปเรียนกันยังเอ่ยยย 5555,0.5037,1
เราควรรู้สึกยังไง ถ้าได้รู้อะไรหลายๆเรื่องจากเพื่อนเป็นคนสุดท้ายในกลุ่ม บางทีเราก็น้อยใจนะ หรือเราอาจจะเป็นที่พึ่งให้เค้าไม่ดีพอ,0.5037,1
เมื่อไรจะหมดหน้าฝน เบื่อจริงๆ ☔️😕,0.5038,1
ยุคนเด่วมันก้อเหงาแบบนี้แระ...ว่ามั้ย😊,0.5038,1
ตอนนี้ตลาดอินเตอร์โซนปิดยังอะ,0.5038,1
สอบกันรึยัง,0.5038,1
"เพท​ กูkult
ใครเป็นแอดมินน๊าาาาาา",0.5039,1
"ไม่อยากเป็นมนุษย์ I hate my job อ่ะ
ทำไงดี T T",0.5039,1
เด็กธรรมศาสตร์เปิดเทอมกันวันไหน มก เปิดวันที่6แล้วววว,0.5039,1
"ตอนนี้กำลังสับสนตัวเอง
มีแฟน แต่คบไปเพราะนางมาจีบ เพิ่งคบกันได้เดือนนึง
ถ้ามีแฟนก็แบบรักเดียวใจเดียวอะ ไม่นอกใจ
แต่ถ้าทำแบบนี้ก็ไม่มีใครเปย์ เพราะแฟนอะก็แบบไม่อยากไรป่ะ
ฮือ เอาไงดี ชีวิตกูก็ต้องการอยู่รอด เงินจำเป็นมาก ละช่วงนี้ไม่มีงานทำ
เอาไงดีคะ",0.5039,1
ว้าย ในนี้มีสาววายเหมือนกันเลอ ขอแบบฟิค มีเปล่า 55,0.504,1
ชอบกินข้าวบาร์ใหม่ร้านไหนกันงะ,0.504,1
