text,probability,label
มันแปลกหรอ ถ้าสมมติเราอยู่กับเพื่อนคนนี้แล้วเราไม่สบายใจ เราก็แค่ถอยมาอยู่ในโลกของเราที่เราอยู่ด้วยตัวเองแล้วมีความสุขกว่าก็ดีแล้วไหม มันไม่จำเป็นต้องแคร์คนทั้งโลกป่ะ เหนื่อย,0.5,1
วิ่งหนีเหนื่อยมั้ย วิ่งตามเหนื่อยมาก,0.5001,1
เคยเจอพี่สิงที่มอมั้ยย (สิงโต),0.5001,1
ใครไปเจาะเลือดมั่งงงง,0.5001,1
"วิ่งหนีเหนื่อยมั้ย
วิ่งตามเหนื่อยมาก..",0.5001,1
"ไหนบอกเราว่าเราเป็นความสุขของคุณไง
แล้วตอนนี้คุณหายไปไหนแล้วล่ะ....",0.5001,1
เจ้าแอพนี้มันเล่นยังไงนะ ;__;,0.5002,1
40000 คนตอนนี้เต็มยังค่ะ,0.5002,1
อีกนานไหม กว่าใจจะลืม,0.5002,1
"เรามันก็แค่คนในไลน์
จะไปสู้คนข้างกายเธอได้ยังไง 🤭",0.5002,1
คนคนหนึ่งจะจมปรักกับเรื่องเก่าๆได้นานแค่ไหน,0.5002,1
"นอกจากชื่อฉัน มีสิ่งอื่นอีกไหม?
ที่เธอยังใส่ใจและพอจำมันได้อยู่......
.
https://youtu.be/pMSYc52OOns",0.5003,1
ทำดีมาตลอด แต่พลาดทำผิดครั้งเดียวจะกลายเป็นคนเลวเลยหรอ,0.5003,1
รถรับส่งจุดเมกะบางนา คืนนี้ (24/10) ถึงเวลาเท่าไหร่ และพรุ่งนี้เช้า (25/10) เริ่มเวลาเท่าไหร่คะ,0.5003,1
ฟังเราก่อนได้มั้ย ขอร้องล่ะ,0.5003,1
แสงฉาวป่ะะ,0.5003,1
จะไม่คิดถึงกันหน่อยหรอ -_-,0.5004,1
สนามกีฬาแห่งชาติเริ่มถวายรึยังคะ,0.5004,1
เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหน,0.5005,1
เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหน,0.5005,1
ทำไมการที่จะมีใครซักคนคุนด้วยแล้วรู้สึกว่ามันคลิ๊กกัน คือยากจังอะ,0.5005,1
เจ้าดอกไม้ตอนนี้เธอไปอยู่ไหน . . .,0.5005,1
กลับไปเกษตรฝนจะตกไหมนะ,0.5005,1
