,word
8368,a
8276,aa
3396,ab
8766,abc
9049,abiky
4487,ac
640,acai
4949,account
7709,accytu
3883,acer
5082,activity
7125,ad
979,add
5435,adddrop
5569,addidas
5437,adidas
3404,adj
1718,admin
4685,ads
6401,aduckk
3734,ae
4854,after
2497,air
561,airline
7558,airport
5767,ais
7812,aka
8549,alan
2203,alex
8390,alife
7390,all
7151,alotofstory
1821,alvvays
3776,alway
7545,always
5726,am
308,amadeus
5277,amal
9122,ambassador
8454,ambulance
975,amor
4944,ams
4789,an
8904,analchem
2821,anat
4739,anatomy
883,and
3973,andfriends
1713,animal
8195,animallover
5948,anniversary
7843,annm
3502,anonymous
3351,anxiety
6504,anybody
2186,aomg
6714,apl
3042,apocalypse
5796,apogee
2041,app
8928,appeal
6524,apple
4,applemusic
1117,applepen
7042,application
3408,approach
1754,appwar
8467,appzon
7823,aquarium
7927,arch
6055,arinet
976,arinetcu
8813,around
7784,art
7320,artbox
7377,arts
4771,as
2440,asian
8137,aspire
5103,assasin
2302,asus
5939,at
1988,atm
8936,aua
8160,audio
6338,audition
3188,auditions
8114,autocad
6186,awkward
5889,b
6281,ba
8807,baan
4237,baanindy
5058,baankoom
7461,baantu
386,baanyim
6166,baby
7729,backtoschool
6088,bad
3949,bake
3905,balac
9101,balance
112,band
5947,bangkhen
3630,bangkok
8092,bangna
7941,bank
1617,bantu
6178,bar
1908,barcode
9099,bas
8910,basbmcibmirbebbaiacibmpspdseasppepbic
6459,battle
1080,bb
1785,bbq
7409,be
6116,bear
6713,beautiful
3017,beauty
5040,bec
8718,been
8499,begun
6942,benefit
1464,better
1496,big
3773,bikkemberg
1313,biky
7839,bio
7657,biochem
8342,bjm
6003,blah
3824,blaming
1203,bliss
8560,block
6071,bluepay
7934,bmmf
4643,bnk
8872,body
3650,bonchon
5674,bonjourrrr
7933,bonmhee
491,book
8816,botox
4059,botoxfat
8071,bowen
1175,box
6566,boxer
2286,boy
3217,boys
6358,brain
7676,british
5804,bs
8176,bsballsirins
8069,bts
6938,btsmrt
9103,bu
6384,buddy
880,buffet
7381,bun
5399,bunditlife
8916,burapha
8796,burn
942,bus
4094,busem
7267,busfin
4923,bye
1384,c
6379,ca
6221,cactus
9113,cafe
8491,camp
6712,cancel
1002,canon
4516,car
2099,career
972,casa
2563,case
4477,cat
3076,cd
6951,ce
283,cell
7496,central
4978,centralworld
3964,cerebrum
4660,cf
2919,chair
312,chama
8613,chanel
5589,character
2381,charger
5941,charn
7563,chateau
2217,check
3597,cheerclub
5578,cheerleader
5147,cheeva
3924,cheevit
879,chem
9006,chkssdr
5577,choice
1245,chorus
2171,christmas
6019,chula
6864,chulassicpark
3985,chulawifi
1045,cigarettes
3651,cir
5096,city
88,cityinter
7091,civ
4589,civic
4388,civilization
1721,class
5158,clay
5832,clinda
5238,clinic
3132,clinomania
8359,club
8242,cmecc
4736,code
7521,cognitionlanguage
6393,coldplay
3781,college
1598,colour
6918,com
5971,comfort
8899,commde
729,comment
6106,community
7022,complicated
8287,conan
7787,concert
7034,condit
7043,condo
7336,consultants
5904,cont
5344,contact
7796,correct
2331,cosmetic
7260,cosmetics
2320,councils
9158,counsil
588,cover
6762,cpird
1933,cplus
5303,craig
330,cream
6930,credeex
4502,crisis
9019,crtwitter
6764,crysis
7549,cryyy
437,cs
5267,csgo
4733,csr
6658,css
5104,ctf
5430,ctw
1643,cu
7124,culi
5374,cunex
7166,cushion
7424,cuteboy
5187,cutec
1273,cutep
6109,cutmc
3051,cv
8172,d
7466,daily
6520,dailyespresso
2181,dark
4651,data
769,date
4139,dawn
902,day
7538,dbtm
924,dcondo
6723,ddp
4586,ddu
3312,de
767,deadpixel
322,death
3500,deekanna
5185,deep
2451,dek
2702,dektu
8762,delete
5456,deleted
8021,delivery
4324,dell
8262,dental
1191,design
6696,detail
977,dhl
4157,diamond
4936,dict
2774,did
1457,digi
3863,digital
7366,dinner
8120,direct
7443,dislike
2974,disneyland
65,distance
