word,label
กก,
กขน,
กค,
กง,
กซ์,
กฎ,
กฎหมาย,1
กฎเกณฑ์,1
กฏ,
กดดัน,
กดปุ่ม,
กดหัว,
กท,
กทม,
กน,
กนก,
กบ,
กปิ,
กพส,
กฟดกสดสฟฟสดสกสห,
กม,
กยศ,
กร,
กรก,
กรกฎาคม,1
กรง,
กรณี,
กรน,
กรม,
กรมท่า,1
กรมสุขภาพจิต,1
กรร,
กรรณิการ์,1
กรรม,
กรรมการ,1
กรรมตามสนอง,
กรรไกร,1
กรอ,
กรอบ,1
กระ,
กระจก,1
กระจกหลัง,1
กระจง,
กระจับ,1
กระฉูด,
กระชุ่มกระชวย,
กระดาษ,1
กระดิ่ง,1
กระดุม,1
กระดูก,1
กระติก,1
กระติกน้ำร้อน,1
กระตุก,
กระต่าย,1
กระถาง,
กระทรวง,1
กระทรวงกลาโหม,1
กระทรวงมหาดไทย,1
กระทะ,1
กระทา,1
กระทิง,1
กระทืบ,
กระทุ่ม,
กระทู้ถาม,1
กระบวน,
กระบวนการ,1
กระบองเพชร,1
กระบี่,1
กระป๋อง,1
กระผม,1
กระพริบตา,
กระลา,1
กระวนกระวาย,
กระสือ,1
กระหาย,
กระเซอะกระเซิง,
กระเซ็น,
กระเด็น,
กระเทียม,1
กระเป๋า,1
กระเป๋าสะพาย,1
กระเพาะ,1
กระเพาะปลา,1
กระเพาะอาหาร,1
กระแดะ,
กระแส,
กระโปรง,1
กรัก,
กรัง,
กราด,
กราน,
กราบ,
กราบพระ,1
กราบลา,
กราฟ,1
กราฟฟิก,1
กราม,
กริบ,
กริ๊ส,
กรีด,
กรีดร้อง,
กรีน,
กรี๊ด,
กรี๊ส,
กรุก,
กรุง,
กรุงธน,1
กรุงเทพมหานคร,1
กรุงเทพฯ,1
กรุงไทย,1
กรุบ,
กรุ๊ป,
กร่อย,
กร่าง,
กร้อ,
กร้าน,
กฤช,
กฤษฎา,
กล,
กลบ,
กลอง,
กลอน,1
กลัดกระดุม,
กลับ,
กลับด้าน,
กลับบ้าน,
กลับเป็น,
กลั้น,
กลั้นใจ,
กลา,
กลางคน,
กลางคัน,
กลางคืน,1
กลางวัน,1
กลางเดือน,1
กลางเมือง,1
กลางแดด,1
กลาด,
กลาโหม,1
กลิ่น,
กลืน,
กลืนน้ำลาย,
