Stopword,label
﻿นี้,
นํา,
นั้น,
นัก,
นอกจาก,
ทุก,
ที่สุด,
ที่,
ทําให้,
ทํา,
ทาง,
ทั้งนี้,
ดัง,
ซึ่ง,
ช่วง,
จาก,
จัด,
จะ,
คือ,
ความ,
ครั้ง,
คง,
ขึ้น,
ของ,
ขอ,
รับ,
ระหว่าง,
รวม,
ยัง,1
มี,
มาก,
มา,
พร้อม,
พบ,
ผ่าน,
ผล,
บาง,
น่า,
เปิดเผย,
เปิด,
เนื่องจาก,
เดียวกัน,
เดียว,
เช่น,
เฉพาะ,
เข้า,
ถ้า,
ถูก,
ถึง,
ต้อง,
ต่างๆ,
ต่าง,
ต่อ,
ตาม,
ตั้งแต่,
ตั้ง,
ด้าน,
ด้วย,
อีก,
อาจ,
ออก,
อย่าง,
อะไร,1
อยู่,
อยาก,
หาก,
หลาย,
หลังจาก,
แต่,
เอง,
เห็น,
เลย,
เริ่ม,
เรา,
เมื่อ,
เพื่อ,
เพราะ,
เป็นการ,
เป็น,
หลัง,
หรือ,1
หนึ่ง,
ส่วน,
ส่ง,
สุด,
สําหรับ,
ว่า,
ลง,
ร่วม,
ราย,
ขณะ,
ก่อน,
ก็,
การ,
กับ,
กัน,
กว่า,
กล่าว,
จึง,
ไว้,
ไป,
ได้,
ให้,
ใน,
โดย,
แห่ง,
แล้ว,
และ,
แรก,
แบบ,
ๆ,
ทั้ง,
วัน,
เขา,
เคย,
ไม่,
อยาก,
เกิน,
เกินๆ,
เกี่ยวกัน,
เกี่ยวกับ,
เกี่ยวข้อง,
เกี่ยวเนื่อง,
เกี่ยวๆ,
เกือบ,
เกือบจะ,
เกือบๆ,
แก,
แก่,
แก้ไข,
ใกล้,
ใกล้ๆ,
ไกล,
ไกลๆ,
ขณะเดียวกัน,
ขณะใด,
ขณะใดๆ,
ขณะที่,
ขณะนั้น,
ขณะนี้,
ขณะหนึ่ง,
ขวาง,
ขวางๆ,
ขั้น,
ใคร,1
ใคร่,
ใคร่จะ,
ใครๆ,
ง่าย,
ง่ายๆ,
ไง,
จง,
จด,
จน,
จนกระทั่ง,
จนกว่า,
จนขณะนี้,
จนตลอด,
จนถึง,
จนทั่ว,
จนบัดนี้,
จนเมื่อ,
จนแม้,
จนแม้น,
จรด,
จรดกับ,
จริง,
จริงจัง,
จริงๆ,
จริงๆจังๆ,
จวน,
จวนจะ,
จวนเจียน,
จวบ,
ซึ่งก็,
ซึ่งก็คือ,
ซึ่งกัน,
ซึ่งกันและกัน,
ซึ่งได้แก่,
ซึ่งๆ,
ณ,
ด้วย,
ด้วยกัน,
ด้วยเช่นกัน,
ด้วยที่,
ด้วยประการฉะนี้,
ด้วยเพราะ,
ด้วยว่า,
ด้วยเหตุที่,
ด้วยเหตุนั้น,
ด้วยเหตุนี้,
ด้วยเหตุเพราะ,
ด้วยเหตุว่า,
ด้วยเหมือนกัน,
ดั่ง,
ดังกล่าว,
ดังกับ,
ดั่งกับ,
ดังกับว่า,
ดั่งกับว่า,
ดังเก่า,
