text,probability
เหมือนเยลมั้ย,0.75
เธอชอบหมา เราชาติหมาเธอจะชอบไหม,0.75
มีใครเป็นภูมิแพ้อะไรมั้งป่ะ นี่แพ้อากาศเย็นอะ😂 แง่ง,0.75
เป็นผีหรอคะ? มาๆหายๆ นึกถึงคนรอมั่งง,0.75
เจ้าก้อนนนนน งื้ออออ อยากบีบบบ,0.75
คือเอาจริงๆเราไม่ค่อยโอเคกับผู้ชายที่มีความคิดแบบต้องอยู่กับแฟนได้ตลอดเวลา24ชม. นอนด้วยกันตัวติดหนึบเป็นตังเมหรือจะออกไปหาได้ทุกเวลาราวกับว่าเป็นเซเว่นเงี่ยยยย ฮัลโหลลลล คนๆนึงมันจะว่างขนาดนั้นเลยหรอ? แล้วคือบ้านอ่ะบ้านทุกคนมีบ้าน ละไม่เข้าใจไอ่ตรรกะที่ว่าทำแบบนี้ไม่ได้แล้วโกรธ เห้ย คุณสรุปคือนี่อยากได้แฟนหรืออยากได้คู่นอนอ่ะ ไม่ใช่อะไรนะเราเคยเจอแบบนี้มาสองครั้งละไง มันเลยทำให้เราไม่กล้าคบใครอ่ะ คือคนแบบนี้หวังอะไรก็น่าจะรู้ดีอ่ะ เราเคยคบคนๆนึงสุดท้ายเลิกกันเพราะเค้าลืมแฟนเก่าไม่ได้ ละเอาเหตุผลแบบนี้มาอ้างคือ เราอยู่ด้วยกันน้อยไปรึป่าว คือถ้าโตกว่านี้ก็อีกเรื่องนึง อย่าหาว่านี่โลกสวยเลยนะ แต่คือบางอย่างเหตุผลหรือความต้องการมันมากเกินไปสะจนเราสงสัยว่า เอ๊ะ นี่หรอความรัก?😂,0.75
นักกล้ามบัญชี,0.75
ได้แค่พิมพ์,0.75
ตามหาเด็กเยอรมันปี1ครับ คิดถึง😞,0.75
เห็นแว๊บแรก อ่านว่าไรกันอ่ะ 555,0.75
วันนี้โรงอาหารกรีนเปิดมั้ยคะ?,0.7501
"เง้อออออ เมื่อวันเสาร์ที่แล้วไปงานเลี้ยงรับปริญญาแล้วเจอญาติๆ ทุกคนล้วนถามว่ามีแฟนหรือยัง หรือไม่ก็เมื่อไหร่จะมีแฟน มันทำให้เรานึกขึ้นมาว่านี่เราไม่มีใครมานานเท่าไหร่แล้ว อายุจะ23แล้วนะ ไม่เปิดใจหน่อยหรอ
ปล.ไม่เปิดใจหรือไม่มีคนจีบ ตึ่งโป๊ะ55555",0.7501
ไม่มีไฟในการอ่านหนังสือหรือทำการบ้านเลย ไม่อยากทำอะไรสักอย่าง ไม่อยาก,0.7501
เพื่อนโสด โปรดจีบค่าาา,0.7501
ต้องร้องไห้ให้คนเดิมๆซ้ำๆอีกกี่รอบอะถึงจะพอ,0.7501
ใครรีวิว tu122 ได้บ้างคะ เกรดเป็นยังไงบ้าง ขอคำแนะนำอะไรก็ได้ ลงเรียนไปแล้ว 🙀,0.7501
ต้องการหมอดูแล 1 อัตรา ปวดท้องมากๆแงงงงง,0.7501
อยากไปคอนwinnerแงงงงง,0.7501
รบกวนสอบถามค่ะ อยู่บนฟุตบาทริมถนนข้างรั้ว ม ธรรมศาสตร์ จะได้วางดอกไม้จันทร์ตรงไหนคะ,0.7501
ทำไมชอบหิวตอนดึกๆด้วย ตรูจะนอนนน,0.7501
"เง้อออออ เมื่อวันเสาร์ที่แล้วไปงานเลี้ยงรับปริญญาแล้วเจอญาติๆ ทุกคนล้วนถามว่ามีแฟนหรือยัง หรือไม่ก็เมื่อไหร่จะมีแฟน มันทำให้เรานึกขึ้นมาว่านี่เราไม่มีใครมานานเท่าไหร่แล้ว อายุจะ23แล้วนะ ไม่เปิดใจหน่อยหรอ
ปล.ไม่เปิดใจหรือไม่มีคนจีบ ตึ่งโป๊ะ55555",0.7501
มีใครเรียน econ บ้างคะ รีวิวคณะหน่อย การเรียน สังคม,0.7502
อ่านบอกอ่าน จะกั๊กทำไม หมดยุคได้ละปะ,0.7502
ยิ้มให้ขนาดนี้คิดอะไรกับเรารึเปล่าอ่ะ 😂,0.7502
เทอมหน้าไม่พลาดอะบอกเลยยย 555555หรอ,0.7502
ใครว่างไปตีแบดเป็นเพื่อนหน่อยค้าบ อินเตอโซนจร๊า จุ๊บจุ๊บ,0.7502
จากแอร์พอร์ตลิงค์พญาไท ไป ทางไหนดีสุดค่ะ ว่าจะนั่งBTS ไปสะพานตากสิน แล้วรอขึ้นเรือไป ท่าเตียน ยังมีเรือถึงกี้โมงค่ะ? รึแนะนำทางไหนค่ะ,0.7502
ทรูมูพ​ ขาย​บริษัท​ป่ะจะซื้อไปบริหารเอง.,0.7502
ศูนย์ราชการเปิดให้วางได้ถึงกี่โมงคะ,0.7502
ถึงชีทเรียนตั่งต่าง5555555 #memer,0.7502
มึงไม่เคยคิดไรอยู่เเล้วนิ,0.7503
