Stopword,label
﻿นี้,
นํา,
นั้น,
นัก,
นอกจาก,1
ทุก,1
ที่สุด,1
ที่,
ทําให้,1
ทํา,1
ทาง,1
ทั้งนี้,
ดัง,1
ซึ่ง,1
ช่วง,1
จาก,
จัด,1
จะ,
คือ,1
ความ,
ครั้ง,
คง,
ขึ้น,1
ของ,1
ขอ,1
รับ,1
ระหว่าง,1
รวม,1
ยัง,1
มี,1
มาก,1
มา,1
พร้อม,1
พบ,1
ผ่าน,1
ผล,1
บาง,1
น่า,
เปิดเผย,1
เปิด,1
เนื่องจาก,1
เดียวกัน,1
เดียว,1
เช่น,1
เฉพาะ,1
เข้า,
ถ้า,1
ถูก,1
ถึง,
ต้อง,1
ต่างๆ,1
ต่าง,1
ต่อ,
ตาม,1
ตั้งแต่,
ตั้ง,
ด้าน,
ด้วย,
อีก,
อาจ,
ออก,1
อย่าง,
อะไร,1
อยู่,1
อยาก,1
หาก,1
หลาย,1
หลังจาก,1
แต่,
เอง,1
เห็น,1
เลย,1
เริ่ม,1
เรา,1
เมื่อ,
เพื่อ,
เพราะ,1
เป็นการ,1
เป็น,1
หลัง,
หรือ,1
หนึ่ง,
ส่วน,
ส่ง,1
สุด,
สําหรับ,1
ว่า,1
ลง,1
ร่วม,1
ราย,
ขณะ,
ก่อน,1
ก็,
การ,
กับ,1
กัน,
กว่า,
กล่าว,1
จึง,
ไว้,
ไป,
ได้,
ให้,1
ใน,1
โดย,
แห่ง,
แล้ว,
และ,
แรก,1
แบบ,1
ทั้ง,
วัน,1
เขา,1
เคย,
ไม่,1
อยาก,1
เกิน,1
เกี่ยวกัน,1
เกี่ยวกับ,1
เกี่ยวข้อง,1
เกี่ยวเนื่อง,1
เกือบ,1
เกือบจะ,1
แก,1
แก่,1
แก้ไข,1
ใกล้,1
ไกล,1
ไกลๆ,1
ขณะเดียวกัน,1
ขณะใด,1
ขณะที่,1
ขณะนั้น,1
ขณะนี้,1
ขณะหนึ่ง,1
ขวาง,1
ขั้น,
ใคร,1
ใคร่,1
ใคร่จะ,1
ง่าย,1
ไง,
จง,
จด,1
จน,1
จนกระทั่ง,1
จนกว่า,1
จนขณะนี้,1
จนตลอด,1
จนถึง,1
จนทั่ว,1
จนบัดนี้,1
จนเมื่อ,1
จนแม้,1
จนแม้น,1
จรด,1
จรดกับ,1
จริง,1
จริงจัง,1
จริงๆ,1
จริงๆจังๆ,1
จวน,1
จวนจะ,1
จวนเจียน,1
จวบ,1
ซึ่งก็,
ซึ่งก็คือ,
ซึ่งกัน,1
ซึ่งกันและกัน,1
ซึ่งได้แก่,
ณ,
ด้วย,
ด้วยกัน,1
ด้วยเช่นกัน,
ด้วยที่,
ด้วยประการฉะนี้,
ด้วยเพราะ,
ด้วยว่า,
ด้วยเหตุที่,
ด้วยเหตุนั้น,
ด้วยเหตุนี้,
ด้วยเหตุเพราะ,
ด้วยเหตุว่า,
ด้วยเหมือนกัน,
ดั่ง,
ดังกล่าว,1
ดังกับ,
ดั่งกับ,
ดังกับว่า,
